district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
內湖區,房地(土地+建物),內湖路二段１０３巷４２之３號七樓,1071204,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,69.61,2,2,1,有,17520000,251688,,0,0
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之５號七樓,1071113,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,154.06,3,2,2,有,32500000,235406,坡道平面,28.32,2900000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之１號七樓,1071217,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,140.49,3,2,2,有,28500000,234967,坡道平面,30.9,2750000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之１號二樓,1071202,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,152.84,3,2,2,有,27560000,225021,坡道平面,43.25,2900000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之２號三樓,1070928,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,167.27,3,2,2,有,36180000,240590,坡道平面,28.32,2750000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之５號五樓,1080104,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,154.06,3,2,2,有,32540000,236917,坡道平面,28.32,2750000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之２號五樓,1071005,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,169.84,3,2,2,有,36550000,243270,坡道平面,30.9,2750000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之３號五樓,1070924,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,100.5,2,2,1,有,20000000,247845,坡道平面,30.9,2750000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之１號五樓,1071217,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,140.49,3,2,2,有,27980000,228853,坡道平面,30.9,2900000
內湖區,房地(土地+建物),內湖路二段１０３巷４２之３號六樓,1070922,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,69.61,2,2,1,有,17680000,253986,,0,0
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之１號六樓,1071201,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,137.91,3,2,2,有,28500000,233598,坡道平面,28.32,2900000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之２號六樓,1071018,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,166.05,3,2,2,有,37080000,249256,坡道平面,28.32,2750000
內湖區,房地(土地+建物),內湖路二段１０３巷４２之３號四樓,1071029,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,69.61,2,2,1,有,17200000,247091,,0,0
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之５號四樓,1080307,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,154.06,3,2,2,有,31700000,230237,坡道平面,28.32,2750000
內湖區,房地(土地+建物)+車位,內湖路二段１０３巷４２之１號四樓,1071002,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100223,137.91,3,2,2,有,27680000,227484,坡道平面,28.32,2750000
信義區,房地(土地+建物)+車位,忠孝東路四段５６１號二十一樓,1091209,土地2建物1車位3,二十一層,二十四層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1070807,620.83,0,0,0,有,300000000,591051,坡道平面,129.84,9800000
信義區,房地(土地+建物)+車位,忠孝東路四段５６１號二十二樓,1100128,土地2建物1車位3,二十二層,二十四層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1070807,620.83,0,0,0,有,293660000,578444,坡道平面,129.84,9650000
士林區,房地(土地+建物),社中街２１０巷１６號二樓之２,1100322,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090508,127.74,3,2,2,有,17380000,136058,,0,0
中山區,房地(土地+建物)+車位,松江路１３３巷８號二樓,1100331,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1081016,181.58,3,2,2,有,46600000,308452,坡道平面,38.77,2550000
中山區,房地(土地+建物)+車位,松江路１３３巷１０號二樓,1100208,土地1建物1車位2,二層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1081016,219.16,3,2,2,有,45000000,281034,坡道平面,77.54,5200000
士林區,房地(土地+建物)+車位,社中街２１０巷１６號八樓之２,1100223,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090508,120.59,2,1,1,有,15430000,151461,升降平面,30.6,1800000
士林區,房地(土地+建物)+車位,社中街２１０巷１６號八樓,1100406,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090508,113.61,0,0,1,有,14300000,150584,升降平面,30.6,1800000
士林區,房地(土地+建物)+車位,社中街２１０巷１６號十樓之２,1100305,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090508,104,2,1,1,有,15000000,158246,升降機械,15.53,1000000
士林區,房地(土地+建物)+車位,社中街２１０巷１６號三樓,1100225,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090508,119.91,0,0,1,有,13880000,135259,升降平面,30.6,1800000
