The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
大安區,房地(土地+建物),臺北市大安區和平東路三段109號3樓,12.55,商,,,1081111,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,721108,139.04,3,2,1,有,有,25000000,179804,,0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPVOMLSKKIOFFFA98CA,107.61,0,9.14,,
大安區,房地(土地+建物),臺北市大安區復興南路一段６２號七樓之５,12.35,商,,,1081209,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,651230,139.8,4,2,2,有,有,15000000,107296,,0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLPLKIOFFFA28CA,105.85,0,14.41,,
大安區,房地(土地+建物),臺北市大安區忠孝東路四段２３５號六樓之１,19.99,商,,,1081101,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,178.26,5,2,3,有,有,48500000,272074,,0,0,,RPROMLLMKIOFFFA08CA,136.05,0,0,,
大安區,房地(土地+建物),臺北市大安區安和路一段１０４號八樓之１,16.72,住,,,1081112,土地4建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,660817,127.42,3,1,2,有,有,32500000,255062,,0,0,,RPPOMLMJJHPFFFA57CA,97.57,0,17.6,,
文山區,房地(土地+建物),臺北市文山區和平東路四段８８巷２６號２樓,58.83,住,,,1080911,土地1建物1車位0,二層，夾層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770610,130.08,5,3,2,有,無,14680000,112854,,0,0,含增建或未登記建物。,RPXOMLTKKIOFFAA88DA,108.79,0,10.72,,
中正區,房地(土地+建物),臺北市中正區臨沂街４５巷４號６樓,27.68,住,,,1081107,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.19,3,2,2,有,有,24500000,254704,,0,0,,RPUPMLSKKIOFFBA68DA,96.19,0,0,,
大同區,房地(土地+建物),臺北市大同區民權西路１１８巷２號１１樓之９,4.48,商,,,1081114,土地2建物1車位0,十一層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,950704,34.02,1,1,1,有,有,9100000,267490,,0,0,含增建或未登記建物。,RPRPMLKMKIOFFBA77DA,18.93,1.02,2.91,,
中正區,房地(土地+建物),臺北市中正區和平西路一段５９號４樓之１９,3.9,商,,,1081117,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,970513,35.14,2,1,1,有,有,10350000,294536,,0,0,,RPQNMLLJJHPFFAA07DA,18.98,0,3.76,,
內湖區,房地(土地+建物),臺北市內湖區陽光街９２巷１８弄１０號４樓,24.16,住,,,1081110,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711224,79.6,3,2,1,有,無,12000000,150754,,0,0,含增建或未登記建物。,RPQNMLMLKIOFFCA67DA,70.39,0,9.21,,
中山區,房地(土地+建物),臺北市中山區農安街138號3樓,11.99,住,,,1081125,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,720427,65.34,3,2,2,有,無,10000000,153046,,0,0,親友、員工或其他特殊關係間之交易。；,RPOQMLKLKIOFFCA57DA,46.49,0,8.13,,
內湖區,房地(土地+建物),臺北市內湖區成功路四段２１４巷２弄４號５樓,25.4,住,,,1081020,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730323,99.25,3,2,1,有,無,14300000,144081,,0,0,含增建或未登記建物。,RPXPMLNLKIOFFCA68DA,80.33,0,10.73,,
內湖區,房地(土地+建物),臺北市內湖區安康路４３４巷２０弄３８號５樓,12.16,住,,,1081122,土地1建物1車位0,五層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,850613,35.72,2,1,1,有,有,6300000,176372,,0,0,含增建或未登記建物。,RPWNMLLLKIOFFCA18DA,20.99,0,2.97,,
中山區,房地(土地+建物),臺北市中山區新生北路二段３１之１號４樓之６,10.22,住,,,1081111,土地11建物1車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,661105,76.68,1,1,1,有,有,12000000,156495,,0,0,含增建或未登記建物。,RPRRMLSKKIOFFCA68DA,60.9,0,6.3,,
信義區,房地(土地+建物),臺北市信義區莊敬路２８９巷３弄１９號６樓,21.81,商,,,1081106,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740815,119.85,3,2,2,有,有,31900000,266166,,0,0,含增建或未登記建物。,RPQNMLLJJHPFFDA37DA,99.92,0,11.43,,
北投區,房地(土地+建物),臺北市北投區實踐街56巷6號3樓,48.5,住,,,1081105,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620430,90.67,3,1,1,有,無,10500000,115805,,0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLLMKIOFFEA48DA,90.67,0,0,,
士林區,房地(土地+建物),臺北市士林區中山北路七段１４巷３１弄１號５樓,22.14,住,,,1081020,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690621,104.96,4,2,2,有,無,12600000,120046,,0,0,,RPPPMLOLKIOFFEA18DA,85.53,0,10.42,,
北投區,房地(土地+建物),臺北市北投區天母北路１０５巷１５弄１號３樓之１,12.91,住,,,1081109,土地1建物1車位0,三層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,840629,45.96,1,1,1,有,有,7880000,171453,,0,0,含增建或未登記建物。,RPQNMLMLKIOFFEA87DA,27.48,0.93,2.85,,
松山區,房地(土地+建物),臺北市松山區延壽街４０２巷２弄８號４樓,31,住,,,1081110,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,99.77,3,2,2,有,無,21380000,214293,,0,0,含增建或未登記建物。；,RPPNMLMLKIOFFDA67DA,86.29,0,13.48,,
中山區,房地(土地+建物),臺北市中山區新生北路二段８１號４樓,17.94,住,,,1081007,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,731218,127.05,3,2,2,有,有,23000000,181031,,0,0,含增建或未登記建物。,RPPNMLLLKIOFFCA47DA,106.88,0,14.09,,
中山區,房地(土地+建物),臺北市中山區林森北路１２１號１０樓之５,1.99,商,,,1081116,土地1建物1車位0,十層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,971215,25.3,0,1,1,有,有,5100000,201581,,0,0,,RPOQMLOLKIOFFCA97DA,15.91,1.91,0,,
內湖區,房地(土地+建物),臺北市內湖區成功路四段１６７巷１６號８樓,14.93,住,,,1081111,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840128,79.11,2,2,1,有,有,17600000,222475,,0,0,含增建或未登記建物。,RPWTMLRLKIOFFCA76DA,64.27,1.94,4.65,,
萬華區,房地(土地+建物),臺北市萬華區中華路一段114巷4之23號,0.92,商,,,1081211,土地1建物1車位0,一層,六層,店面(店鋪),商業用,鋼筋混凝土造,761105,5.03,0,0,0,無,有,930000,184891,,0,0,,RPXNMLTKKIOFFBA88DA,2.29,0,0,,
文山區,房地(土地+建物),臺北市文山區辛亥路四段１０１巷１４０弄７０之１號,459,住,,,1081115,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,711009,338.04,6,3,4,有,有,46580000,137794,,0,0,含增建或未登記建物。權利人共2人,RPRNMLLLKIOFFAA47DA,338.04,0,0,,
文山區,房地(土地+建物),臺北市文山區忠順街二段９０巷２２號５樓,27.01,住,,,1081208,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720208,80.03,3,2,1,有,無,8880000,110958,,0,0,含增建或未登記建物。,RPWNMLLMKIOFFAA08DA,62.9,0,8.47,,
大安區,房地(土地+建物),臺北市大安區羅斯福路三段２６１之１號五樓之１,7.26,商,,,1081103,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980122,71.23,2,1,1,有,有,18350000,257616,,0,0,,RPWNMLPLKIOFFFA78CA,34.19,2.1,11.11,,
大安區,房地(土地+建物),臺北市大安區復興南路二段180巷29號4樓,23.87,住,,,1081103,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670912,83.62,2,2,2,有,無,16300000,194929,,0,0,含增建或未登記建物。；,RPOOMLTKKIOFFFA38CA,65.01,0,8.25,,
士林區,房地(土地+建物),臺北市士林區士東路266巷3弄2號5樓,38.05,住,,,1081108,土地5建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690429,129.53,3,2,2,有,無,15450000,119277,,0,0,,RPQNMLQLKIOFFEA18CA,114.88,0,14.65,,
士林區,房地(土地+建物),臺北市士林區中山北路七段114巷60弄22號3樓,36.34,住,,,1081107,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760824,135.14,4,2,2,有,無,20800000,153914,,0,0,含增建或未登記建物。；,RPSNMLTKKIOFFEA58CA,112.89,0,11.03,,
士林區,房地(土地+建物),臺北市士林區天母東路8巷23號2樓之1,20.39,商,,,1081109,土地2建物1車位0,二層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650802,121.73,2,2,2,有,有,20100000,165120,,0,0,含增建或未登記建物。；,RPUNMLTKKIOFFEA78CA,110.45,0,0,,
士林區,房地(土地+建物),臺北市士林區天母東路８１巷２３號,28.95,住,,,1081205,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720802,95.64,3,2,2,有,無,15000000,156838,,0,0,,RPQNMLTKKIOFFEA38CA,75.51,13.01,0,,
士林區,房地(土地+建物),臺北市士林區通河街125之1號,34.96,住,,,1080811,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,118.25,4,2,2,有,無,21500000,181818,,0,0,含增建或未登記建物。；,RPSOMLTKKIOFFEA68CA,87.58,18.62,0,,
北投區,房地(土地+建物),臺北市北投區西安街一段187號3樓之1,9.95,住,,,1081114,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,1010320,55.76,2,1,1,有,有,12600000,225968,,0,0,含增建或未登記建物。；,RPOPMLTKKIOFFEA38CA,24.53,6.04,2.97,,
士林區,房地(土地+建物),臺北市士林區士東路９１巷１２之１號六樓,22.48,住,,,1081116,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,750804,124.9,3,2,2,有,無,23500000,188151,,0,0,含增建或未登記建物。；,RPOOMLKLKIOFFEA47CA,93.86,0,12.33,,
士林區,房地(土地+建物),臺北市士林區德行東路３６６號,96.18,住,,,1081203,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,770423,317.15,5,3,4,有,有,45000000,141889,,0,0,,RPWNMLKLKIOFFEA18CA,262.29,31.45,21.28,,
信義區,房地(土地+建物),臺北市信義區虎林街４0巷３5號五樓,13.19,住,,,1081120,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740517,61.99,3,2,2,有,有,4000000,64527,,0,0,親友、員工或其他特殊關係間之交易。；本件買賣係二親等親友間之交易,RPRNMLLMJHPFFDA67CA,44.78,9.07,5.26,,
信義區,房地(土地+建物),臺北市信義區嘉興街１７５之６號,89,住,,,1081128,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,143.02,3,3,3,有,無,48500000,339113,,0,0,,RPPOMLQJJHPFFDA77CA,143.02,0,0,,
信義區,房地(土地+建物),臺北市信義區松山路２０４巷２２號九樓,15.68,商,,,1081030,土地3建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760713,145.57,3,2,2,有,有,29000000,199217,,0,0,,RPWNMLRLKIOFFDA78CA,108.82,0,13.15,,
信義區,房地(土地+建物),臺北市信義區虎林街６６巷１７號,39.63,住,,,1081013,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,710622,107.12,3,2,1,有,有,20000000,186706,,0,0,,RPQNMLQLKIOFFDA08CA,88.04,11.21,0,,
信義區,房地(土地+建物),臺北市信義區基隆路一段１１巷１０弄１０號三樓,20,住,,,1081117,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660312,77.43,3,2,1,有,無,12350000,159499,,0,0,,RPTNMLQLKIOFFDA38CA,63.15,0,14.28,,
信義區,房地(土地+建物),臺北市信義區松仁路３０６號五樓,27.36,住,,,1081128,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750311,116.54,3,2,2,有,無,15950000,136863,,0,0,,RPVNMLPLKIOFFDA48CA,85.83,0,8.78,,
松山區,房地(土地+建物),臺北市松山區民生東路五段１５１號九樓之５,4.49,商,,,1081205,土地1建物1車位0,九層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,720129,52.34,1,1,1,有,有,10800000,206343,,0,0,,RPXNMLOLKIOFFDA58CA,40.64,0,3.6,,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段４３２號三樓,28,商,,,1081126,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,85.07,3,2,1,有,無,23000000,270366,,0,0,含增建或未登記建物。；,RPPOMLPLKIOFFDA97CA,85.07,0,0,,
信義區,房地(土地+建物),臺北市信義區永吉路４９１巷７弄２８號,27,住,,,1081117,土地1建物1車位0,一層，二層，三層,三層,店面(店鋪),住家用,加強磚造,610308,74.25,0,1,2,有,無,23600000,317845,,0,0,含增建或未登記建物。；,RPQOMLSKKIOFFDA28CA,74.25,0,0,,
松山區,房地(土地+建物),臺北市松山區新東街12巷21號3樓,34.1,住,,,1081107,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620608,77.73,2,2,1,有,無,14800000,190403,,0,0,含增建或未登記建物。；,RPUOMLSKKIOFFDA68CA,73.87,0,3.86,,
信義區,房地(土地+建物),臺北市信義區松隆路9巷4號3樓,20.06,住,,,1081013,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720908,114.46,3,2,2,有,無,24680000,215621,,0,0,含增建或未登記建物。；,RPXPMLTKKIOFFDA56CA,87.78,0,12.13,,
松山區,房地(土地+建物),臺北市松山區南京東路四段133巷9弄15號三樓,38.25,住,,,1081110,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.52,3,2,1,有,無,17560000,181931,,0,0,,RPOQMLTKKIOFFDA38CA,96.52,0,0,,
南港區,房地(土地+建物),臺北市南港區南港路二段38巷37號4樓,27.81,住,,,1081031,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971201,134.49,3,2,2,有,有,27000000,200758,,0,0,,RPXPMLSKKIOFFDA09CA,76.57,1.04,9.28,,
南港區,房地(土地+建物),臺北市南港區東明街55號12樓,18.43,住,,,1081027,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971110,80.61,2,2,1,有,有,20200000,250589,,0,0,,RPOQMLSKKIOFFDA28CA,52.72,1.37,4.37,,
信義區,房地(土地+建物),臺北市信義區虎林街１２０巷１０１號,54,住,,,1081026,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,67.5,4,2,2,有,無,21000000,311111,,0,0,親友、員工或其他特殊關係間之交易。；,RPUPMLSKKIOFFDA78CA,67.5,0,0,,
信義區,房地(土地+建物),臺北市信義區永吉路１２０巷１號八樓,13.6,商,,,1081119,土地1建物2車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,791212,120.25,2,2,2,有,無,20500000,170478,,0,0,,RPTNMLKLKIOFFDA77CA,95.12,9.3,9.85,,
萬華區,房地(土地+建物),臺北市萬華區青年路１６８巷４９弄２９號五樓,11.36,住,,,1081114,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,38.37,2,1,1,有,無,4000000,104248,,0,0,,RPRNMLPJKHPFFBA67CA,32.51,0,0,,
內湖區,房地(土地+建物),臺北市內湖區康寧路一段１５６巷１０弄２號二樓,42.88,住,,,1081112,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700515,105.52,3,1,2,有,無,12600000,119409,,0,0,親友、員工或其他特殊關係間之交易。；,RPUPMLSJJHPFFCA48CA,96.93,0,8.59,,
中山區,房地(土地+建物),臺北市中山區松江路５６２號五樓之５,6.92,住,,,1081202,土地4建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850719,34.2,1,1,1,有,有,4600000,134503,,0,0,,RPQNMLKMKIOFFCA47CA,21.38,0,0,,
內湖區,房地(土地+建物),臺北市內湖區新明路３８７號二樓,34.75,住,,,1081031,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660331,84.57,3,1,1,有,無,9000000,106421,,0,0,親友、員工或其他特殊關係間之交易。；,RPQPMLKLKIOFFCA57CA,82.36,0,2.21,,
中山區,房地(土地+建物),臺北市中山區新生北路2段133巷55號3樓,25.5,住,,,1081119,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,570802,86.92,3,2,1,有,無,13500000,155315,,0,0,含增建或未登記建物。依仲介公司提供之資料登錄,RPWOMLTKKIOFFCA88CA,83.53,0,3.39,,
中山區,房地(土地+建物),臺北市中山區南京東路二段115巷3弄4號3樓,27,住,,,1080810,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),,加強磚造,,70.89,3,3,3,有,無,15380000,216956,,0,0,含增建或未登記建物。；,RPPRMLTKKIOFFCA48CA,70.89,0,0,,
中山區,房地(土地+建物),臺北市中山區林森北路３９９巷１９號七樓之１,2.56,商,,,1081204,土地3建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730927,27.22,3,2,2,有,有,3000000,110213,,0,0,持分買賣,RPWPMLKLKIOFFCA18CA,21.08,0,1.7,,
萬華區,房地(土地+建物),臺北市萬華區漢口街二段５１號十樓,3.73,其他,,,1081205,土地1建物1車位0,十層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1010530,48.49,1,1,1,有,有,8800000,181481,,0,0,,RPTNMLNLKIOFFBA87CA,25.65,0.51,5.17,,
中正區,房地(土地+建物),臺北市中正區連雲街５５號四樓,39.88,住,,,1081107,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,580606,110.41,2,2,1,有,無,26580000,240739,,0,0,,RPVOMLNLKIOFFBA18CA,98.65,0,11.76,,
萬華區,房地(土地+建物),臺北市萬華區大埔街8號、8號二、三、四樓,52,住,,,1080929,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,621115,163.64,3,3,4,有,無,24500000,149719,,0,0,含增建或未登記建物。；,RPPPMLTKKIOFFBA18CA,163.64,0,0,,
萬華區,房地(土地+建物),臺北市萬華區康定路１號,108,商,,,1081031,土地2建物1車位0,全,三層,透天厝,,加強磚造,,254.65,5,2,4,有,無,68000000,267033,,0,0,含增建或未登記建物。；,RPRNMLKLKIOFFBA37CA,254.65,0,0,,
萬華區,房地(土地+建物),臺北市萬華區柳州街2號9樓,11.55,商,,,1081118,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970104,133.15,3,2,2,有,有,23700000,177995,,0,0,含增建或未登記建物。；,RPXOMLTKKIOFFBA88CA,89.28,3.68,4.81,,
萬華區,房地(土地+建物),臺北市萬華區開封街二段６６號八樓之１,16.38,商,,,1081108,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,841201,127,0,2,1,有,有,18400000,144882,,0,0,,RPTNMLPLKIOFFBA08CA,81.34,0.84,6.68,,
萬華區,房地(土地+建物),臺北市萬華區萬大路２３７巷１０弄２９之１號,35.9,住,,,1081004,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721207,127.84,3,1,2,有,無,15000000,117334,,0,0,親友、員工或其他特殊關係間之交易。；,RPPPMLOLKIOFFBA77CA,85.98,10.62,0,,
大同區,房地(土地+建物),臺北市大同區延平北路一段２２號３樓之１,1.86,商,,,1081114,土地6建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670530,54.95,2,2,2,有,有,8100000,147407,,0,0,,RPXOMLPLKIOFFBA58CA,40.08,0,6.56,,
文山區,房地(土地+建物),臺北市文山區羅斯福路六段１４２巷８８號十四樓,48.79,住,,,1070309,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081016,191.06,4,2,2,有,有,44280000,231760,,0,0,,RPQOMLRKJHPFFAA77CA,103.53,6.51,14.53,,
文山區,房地(土地+建物),臺北市文山區忠順街一段２６巷３０弄１號四樓,33.32,住,,,1081105,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840109,119.63,3,1,2,有,無,17000000,142105,,0,0,,RPWNMLRJJHPFFAA18CA,71.76,1.94,8.54,,
文山區,房地(土地+建物),臺北市文山區辛亥路四段222巷20號5樓,28.07,住,,,1081117,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690725,98.5,3,2,1,有,無,9060000,91980,,0,0,含增建或未登記建物。；,RPSNMLKLKIOFFAA37CA,71.95,20.08,6.47,,
中正區,房地(土地+建物),臺北市中正區汀州路三段１０４巷１１弄７號二樓,64.75,住,,,1081202,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,164.8,3,2,2,有,無,28000000,169903,,0,0,,RPUPMLQLKIOFFAA38CA,164.8,0,0,,
中正區,房地(土地+建物),臺北市中正區和平西路一段17號十三樓,6.39,商,,,1081119,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080425,62.85,2,1,1,有,有,18350000,291965,,0,0,,RPOOMLTKKIOFFAA87CA,31.79,1.89,6.03,,
中正區,房地(土地+建物),臺北市中正區同安街６９巷１號三樓,26.75,住,,,1081115,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,64.74,2,1,1,有,無,10000000,154464,,0,0,親友、員工或其他特殊關係間之交易。；,RPUOMLSKKIOFFAA38CA,64.74,0,0,,
中正區,房地(土地+建物),臺北市中正區同安街52號4樓,17.17,其他,,,1081031,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730214,64.54,2,2,1,有,無,12680000,196467,,0,0,含增建或未登記建物。；,RPQNMLTKKIOFFAA97CA,56.37,0,8.17,,
中正區,房地(土地+建物),臺北市中正區南海路107之1號,26.31,住,,,1081115,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,691029,69.75,3,1,1,有,有,13300000,190681,,0,0,含增建或未登記建物。；完稅時雙方協議由賣方補貼買方NT2萬修漏水。僅一筆是主建物其餘六筆是共用部分。,RPSOMLTKKIOFFAA28CA,66.17,3.58,0,,
中正區,房地(土地+建物),臺北市中正區泉州街４３號三樓,25.88,住,,,1081107,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700129,83.37,3,1,1,有,無,12500000,149934,,0,0,,RPXNMLKLKIOFFAA87CA,71.82,0,11.55,,
文山區,房地(土地+建物),臺北市文山區恆光街22巷10號,40.29,住,,,1081008,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790317,118.01,3,2,2,有,無,22000000,186425,,0,0,含增建或未登記建物。；,RPRNMLKLKIOFFAA27CA,94.11,12.67,0,,
中正區,房地(土地+建物),臺北市中正區水源路３１巷１２號五樓,22.66,住,,,1081129,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,541130,40.75,3,1,2,有,無,10000000,245399,,0,0,含增建或未登記建物。；,RPTNMLKLKIOFFAA47CA,34.17,0,6.58,,
中正區,房地(土地+建物),臺北市中正區牯嶺街９巷７號,17.5,住,,,1081113,土地3建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,48.96,3,2,1,有,無,7500000,153186,,0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLOLKIOFFAA77CA,48.96,0,0,,
文山區,房地(土地+建物),臺北市文山區興隆路四段３７號,12.59,住,,,1081109,土地2建物1車位0,一層，騎樓,五層,店面(店鋪),住家用,鋼筋混凝土造,,38.23,0,0,0,無,無,12680000,331677,,0,0,含增建或未登記建物。；交屋後，賣方回租本標的五年，預付租金150萬由本案買賣價金內扣除。,RPTNMLRLKIOFFAA18CA,35.5,2.73,0,,
大同區,房地(土地+建物),臺北市大同區民權西路１７４號二樓,23,住,,,1081119,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,73.55,2,1,1,有,無,7000000,95173,,0,0,親友、員工或其他特殊關係間之交易。；,RPXPMLOLKIOFFBA58CA,58.59,0,14.96,,
大同區,房地(土地+建物),臺北市大同區民權西路１７６號,20.12,住,,,1081119,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,67.02,2,1,1,有,無,11000000,164130,,0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPOQMLOLKIOFFBA77CA,53.72,13.3,0,,
大同區,房地(土地+建物),臺北市大同區蘭州街124巷22號,27.5,住,,,1081018,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660201,92.11,3,2,2,有,無,14300000,155249,,0,0,含增建或未登記建物。；,RPOPMLTKKIOFFBA08CA,66.4,25.71,0,,
中正區,房地(土地+建物),臺北市中正區仁愛路二段８巷１０號四樓,25.75,商,,,1081003,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060411,254.7,3,2,2,有,有,84880000,333255,,0,0,,RPTOMLKMKIOFFBA77CA,146.71,7.91,14.19,,
內湖區,房地(土地+建物),臺北市內湖區南京東路六段３５０號十一樓之１,14.32,工,,,1081112,土地1建物1車位0,十一層,十二層,其他,見其他登記事項,鋼筋混凝土造,970407,87.12,0,0,0,無,有,14380000,165060,,0,0,,RPOPMLNLKIOFFCA67CA,56.45,2.51,2.18,,
