district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
中山區,房地(土地+建物),臺北市中山區林森北路２６３號十一樓之１６,1100426,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,710707,72.27,2,2,1,有,11000000,152207,,0,0
中山區,房地(土地+建物),臺北市中山區新生北路三段２１號十樓之３,1100607,土地3建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),商業用,950209,46.06,2,2,1,有,13980000,303517,,0,0
大安區,房地(土地+建物),臺北市大安區和平東路三段６３號五樓之７,1100508,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,681020,54.05,1,2,1,有,14300000,264570,,0,0
中山區,房地(土地+建物),臺北市中山區新生北路三段５８號五樓之４,1100525,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,711209,32.31,1,1,1,有,5300000,164036,,0,0
中正區,房地(土地+建物),臺北市中正區羅斯福路二段５６號九樓之７,1100529,土地3建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),商業用,911125,34.75,1,1,1,有,12220000,351655,,0,0
北投區,房地(土地+建物)+車位,臺北市北投區清江路２５巷７之１號,1100628,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),商業用,910207,138.84,2,2,1,有,20600000,148372,坡道平面,0,0
中山區,房地(土地+建物),臺北市中山區建國北路二段１４７號七樓之２,1100525,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),商業用,710702,80.1,0,1,0,有,14530000,181398,,0,0
文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段１１８巷１號九樓,1100521,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),商業用,900802,201.9,4,2,2,有,32500000,160971,坡道平面,42.08,0
中正區,房地(土地+建物),臺北市中正區忠孝東路二段１１２號九樓,1100610,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),商業用,781019,133.38,2,1,1,有,35508000,266217,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路二段４６２之１號二樓,1100517,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),商業用,780807,127.03,3,2,2,有,23500000,184996,,0,0
萬華區,房地(土地+建物),臺北市萬華區昆明街１２６號八樓,1100603,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),商業用,850307,127.04,2,2,2,無,22330000,175771,,0,0
信義區,房地(土地+建物)+車位,臺北市信義區松隆路１２５號六樓之９,1100501,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),商業用,850925,91.64,1,1,1,有,13860000,223842,坡道平面,40.89,2500000
士林區,房地(土地+建物),臺北市士林區社正路４８號,1100513,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,770203,173.72,5,2,2,無,41000000,236012,,0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段２５０巷５號,1100618,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,661222,43.21,0,0,0,無,2200000,50914,,0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段２５０巷３弄１號,1100618,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,700612,93.22,3,1,1,無,6000000,64364,,0,0
信義區,房地(土地+建物),臺北市信義區永吉路５２３號,1100512,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,740514,158.44,0,0,0,無,48000000,302954,,0,0
萬華區,房地(土地+建物),臺北市萬華區桂林路４１號二樓,1100625,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,670616,81.47,0,0,0,無,11000000,135019,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路二段４０９號四樓,1100603,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),商業用,681231,91.18,3,2,1,無,14000000,153542,,0,0
大安區,房地(土地+建物),臺北市大安區杭州南路二段２５巷１５號四樓,1100508,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),商業用,700625,100.26,3,2,2,無,28300000,282266,,0,0
