district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
中山區,房地(土地+建物),臺北市中山區民權東路一段５７號六樓,1080923,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),一般事務所（Ｇ－２）,1090120,78.8,0,0,0,有,20920000,265482,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路５８３巷３１號四樓,1090407,土地2建物1車位2,四層,七層,廠辦,工商用,871125,402.4,2,1,0,有,48000000,119284,坡道平面,67.5,0
萬華區,房地(土地+建物),臺北市萬華區興寧街６６巷２弄１４號一樓,1090211,土地6建物2車位0,一層,四層,公寓(5樓含以下無電梯),工業用,661223,154,0,1,2,無,21000000,136364,,0,0
大同區,房地(土地+建物),臺北市大同區敦煌路２４巷２弄１０號,1090321,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),工業用,,66.99,0,0,0,無,13000000,194059,,0,0
萬華區,房地(土地+建物),臺北市萬華區長順街８９巷１３號,1090315,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),工業用,611220,88,1,1,2,無,8400000,95455,,0,0
南港區,房地(土地+建物),臺北市南港區南港路一段１３７巷９號,1090205,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),工業用,630728,52.53,1,1,1,無,14600000,277936,,0,0
信義區,房地(土地+建物),臺北市信義區虎林街9號,1090327,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),工業用,,72.35,2,1,1,無,23000000,317899,,0,0
萬華區,房地(土地+建物),臺北市萬華區萬大路71巷32號2樓,1081227,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,630430,63.97,2,1,1,無,7000000,109426,,0,0
南港區,房地(土地+建物),臺北市南港區市民大道八段５１８號二樓,1090220,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,,84.78,0,0,1,無,11200000,132107,,0,0
大同區,房地(土地+建物),臺北市大同區承德路三段１９６號二樓,1090409,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,621001,35.15,2,1,1,無,5000000,142248,,0,0
萬華區,房地(土地+建物),臺北市萬華區西園路二段１９６巷２號二樓,1081214,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,611213,66.63,2,1,1,無,6750000,101306,,0,0
南港區,房地(土地+建物),臺北市南港區忠孝東路六段２２５巷４弄２號二樓,1090212,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,630806,78.3,3,1,1,無,6500000,83014,,0,0
萬華區,房地(土地+建物),臺北市萬華區西園路二段３２０巷５５弄２６號三樓,1090319,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),工業用,620906,58.61,4,1,1,無,5400000,92134,,0,0
松山區,房地(土地+建物),臺北市松山區八德路四段３６巷３２號三樓,1081226,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),工業用,620508,37.32,3,2,1,無,7300000,195606,,0,0
南港區,房地(土地+建物),臺北市南港區南港路三段67巷1弄8號3樓,1081230,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),工業用,640520,86.91,2,1,1,無,10000000,115062,,0,0
南港區,房地(土地+建物),臺北市南港區新民街92巷2號三樓,1090215,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),工業用,,74.29,3,1,1,無,5100000,68650,,0,0
萬華區,房地(土地+建物),臺北市萬華區興寧街７１號五樓,1090101,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),工業用,690715,132.43,5,2,2,無,6000000,45307,,0,0
萬華區,房地(土地+建物),臺北市萬華區西園路二段５２巷３號五樓,1090407,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),工業用,750107,131.54,6,3,3,無,16000000,121636,,0,0
南港區,房地(土地+建物),臺北市南港區向陽路８６號四樓等２戶,1090112,土地1建物2車位0,四層,五層,公寓(5樓含以下無電梯),工業用,,221.3,5,2,2,無,27800000,125621,,0,0
南港區,房地(土地+建物),臺北市南港區忠孝東路七段563號4樓,1090119,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),工業用,,83.74,0,2,2,無,12800000,152854,,0,0
南港區,房地(土地+建物),臺北市南港區松河街６５０號四樓,1090309,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),工業用,,102.3,3,2,1,無,9800000,95797,,0,0
南港區,房地(土地+建物),臺北市南港區南港路三段１３０巷３弄３號四樓,1090322,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),工業用,790501,201,2,2,2,無,27000000,134328,,0,0
南港區,房地(土地+建物),臺北市南港區忠孝東路6段225巷4弄8號4樓,1081225,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),工業用,,77.4,2,1,1,無,4235050,54716,,0,0
內湖區,房地(土地+建物),臺北市內湖區新明路333巷13號三樓,1090317,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),工業用,630328,91.58,2,2,1,無,9100000,99367,,0,0
士林區,房地(土地+建物),臺北市士林區後港街６２巷７號２樓,1090214,土地1建物1車位0,二層,五層,其他,工業用,710108,102.35,3,2,2,無,13000000,127015,,0,0
萬華區,房地(土地+建物),臺北市萬華區西園路二段45之1號,1090309,土地1建物1車位0,一層,四層,店面(店鋪),工業用,,134.16,0,0,0,無,9000000,67084,,0,0
萬華區,房地(土地+建物),臺北市萬華區西園路二段278號一樓,1090322,土地1建物1車位0,一層,四層,店面(店鋪),工業用,620907,103.36,0,0,0,無,32500000,314435,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路３２１巷１０弄２７號三樓,1090131,土地1建物2車位1,三層,五層,華廈(10層含以下有電梯),工業用,780829,32.29,3,2,2,有,2200000,68133,坡道平面,0,0
北投區,房地(土地+建物),臺北市北投區立德路１２１巷１０號,1090121,土地2建物1車位0,一層,四層,廠辦,工業用,660712,4276.6,0,0,0,無,480000000,112239,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路258巷56號七樓,1090221,土地1建物1車位3,七層,七層,廠辦,工業用,871208,528.77,0,0,0,有,53670000,121011,坡道平面,110.79,3090000
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路258巷56號七樓之1,1090221,土地1建物1車位3,七層,七層,廠辦,工業用,871208,458.74,0,0,0,有,45210000,121052,坡道平面,110.79,3090000
內湖區,房地(土地+建物),臺北市內湖區內湖路一段91巷23弄4號2樓,1090313,土地4建物1車位0,二層,四層,廠辦,工業用,761207,284.61,0,0,0,有,32000000,112435,,0,0
士林區,房地(土地+建物)+車位,臺北市士林區大南路３６１號８樓,1090409,土地4建物1車位2,八層,九層,廠辦,工業用,790511,855.3,0,0,0,有,100432000,124025,坡道平面,77.78,4000000
內湖區,房地(土地+建物)+車位,臺北市內湖區洲子街79之1號11樓,1081224,土地1建物1車位6,十一層,十二層,廠辦,工業用,940714,893.89,8,1,0,有,139990000,156608,坡道平面,192.84,0
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段91巷17號十樓之4,1090227,土地1建物1車位3,十層,十層,廠辦,工業用,940308,380.39,0,0,0,有,45500000,119614,坡道平面,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路582號3樓,1081227,土地1建物1車位2,三層,九層,廠辦,工業用,880806,294.42,0,0,0,有,41200000,139936,坡道平面,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區洲子街114號三樓,1090311,土地1建物1車位1,三層,十層,廠辦,工業用,871015,287.67,0,0,0,有,44000000,152953,坡道平面,32.28,0
北投區,房地(土地+建物)+車位,臺北市北投區中央南路二段１１５號五樓,1090120,土地1建物1車位1,五層,六層,廠辦,工業用,821231,383.68,0,0,0,無,39680000,103420,坡道平面,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段297號五樓,1090417,土地1建物1車位5,五層,十層,廠辦,工業用,980116,546.85,0,0,0,有,72900000,133309,坡道平面,0,0
