district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
文山區,房地(土地+建物),羅斯福路六段２６巷１號二樓,1091022,土地0建物1車位0,二層,四層,公寓(5樓含以下無電梯),住工用,570614,81.93,3,2,1,無,4580000,55901,,0,0
南港區,房地(土地+建物),南港路一段１３７巷５弄３號三樓,1090718,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住工用,630724,89.7,2,2,1,無,15880000,177035,,0,0
中正區,房地(土地+建物),臨沂街５７巷３２弄４號,1090719,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,580516,99.86,3,2,2,無,35800000,358502,,0,0
信義區,房地(土地+建物),信義路五段１５０巷４００弄１６號,1090805,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,811124,117.1,3,2,2,無,18700000,159693,,0,0
士林區,房地(土地+建物),中山北路七段１４巷８２弄２號,1090812,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,770419,120.86,3,2,2,有,19800000,163826,,0,0
信義區,房地(土地+建物),吳興街５２４巷３９號,1090806,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,86.77,3,2,1,無,13800000,159041,,0,0
信義區,房地(土地+建物),和平東路三段３９１巷８弄４７號,1090808,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,74.47,2,1,1,無,18000000,241708,,0,0
北投區,房地(土地+建物),自強街５巷８２號,1090730,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,610608,64.78,1,1,1,無,15300000,236184,,0,0
萬華區,房地(土地+建物),長泰街３０號,1090818,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,671208,78.99,2,1,1,無,16000000,202557,,0,0
北投區,房地(土地+建物),中山路２８之１３號,1090831,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),住家用,701231,36.93,1,1,1,有,3500000,94774,,0,0
士林區,房地(土地+建物),天母西路２２巷１９號,1090810,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,730214,125.72,3,2,2,無,27000000,214763,,0,0
北投區,房地(土地+建物),大業路２８０巷３５弄１８號,1090825,土地2建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,850517,36.22,1,1,1,有,5800000,160133,,0,0
北投區,房地(土地+建物),致遠二路１１３巷１４之１號,1090821,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,710121,88.39,4,2,2,無,15550000,175925,,0,0
內湖區,房地(土地+建物),東湖路１１３巷５弄２１號,1090806,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,741205,114.85,3,2,2,無,22800000,198520,,0,0
信義區,房地(土地+建物),虎林街２０２巷３５號,1090715,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,581114,102.35,3,1,1,無,30300000,296043,,0,0
大安區,房地(土地+建物),和平東路二段９６巷１０弄６號,1090727,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,,130.11,3,2,2,無,30000000,230574,,0,0
內湖區,房地(土地+建物),康寧路三段１８９巷７３弄１３號,1090725,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,740103,142.53,4,3,1,無,24580000,172455,,0,0
士林區,房地(土地+建物),延平北路八段２巷５５弄１８號,1090825,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,581105,34.35,2,1,1,無,2200000,64047,,0,0
北投區,房地(土地+建物),泉源路３９之４８號,1090825,土地2建物1車位0,一層,十一層,住宅大樓(11層含以上有電梯),住家用,740117,147.98,3,2,2,有,13200000,89207,,0,0
北投區,房地(土地+建物),大屯路２１巷２２號,1090910,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,580814,68.64,3,1,1,無,1320000,19231,,0,0
士林區,房地(土地+建物),德行東路３３２巷１２號,1090722,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,710707,89.8,3,2,2,無,13360000,148775,,0,0
內湖區,房地(土地+建物),內湖路三段１４１巷１弄１０號,1090817,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,670116,114.42,3,2,2,無,20000000,174795,,0,0
北投區,房地(土地+建物),西安街一段３１３巷６弄５號,1090820,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,610311,82.33,3,2,1,無,17850000,216810,,0,0
松山區,房地(土地+建物),撫遠街３８３巷１４號,1090831,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,630318,92.38,3,2,2,無,17050000,184564,,0,0
中山區,房地(土地+建物),松江路１５０巷２９號,1090811,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,690422,99.08,3,2,2,無,27000000,272507,,0,0
中正區,房地(土地+建物),八德路一段８２巷９弄２６號,1090905,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,,58.74,0,0,0,無,25678888,437162,,0,0
內湖區,房地(土地+建物),金龍路４７巷２７號,1090818,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,681011,104.16,3,2,2,無,19200000,184332,,0,0
內湖區,房地(土地+建物),內湖路三段６０巷１２弄４５號,1090908,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,721015,94.86,3,2,2,無,15000000,158111,,0,0
中山區,房地(土地+建物),林森北路１０７巷８４之３號,1090819,土地1建物2車位0,一層,七層,華廈(10層含以下有電梯),住家用,611026,117.88,5,0,5,有,17300000,146759,,0,0
大安區,房地(土地+建物),仁愛路四段１１２巷２１號,1090804,土地3建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,701218,210.61,0,0,0,有,77000000,365605,,0,0
北投區,房地(土地+建物),溫泉路１３２之１２號,1090621,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,721116,126.13,3,2,2,無,10600000,84040,,0,0
大安區,房地(土地+建物),建國南路一段２１２巷１５號,1090811,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,670609,90.63,3,1,2,無,32000000,353084,,0,0
信義區,房地(土地+建物),崇德街６３巷２６號,1090721,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,124.01,3,2,2,無,28900000,233046,,0,0
內湖區,房地(土地+建物),麗山街６２巷１２弄２號,1090901,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,661117,101.41,3,2,2,無,21000000,207080,,0,0
內湖區,房地(土地+建物),南京東路六段９９號,1090912,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,860526,129.84,3,2,2,有,18300000,140943,,0,0
南港區,房地(土地+建物),福德街３３９巷３弄１２號,1090813,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,660131,96.57,3,2,2,無,15850000,164130,,0,0
信義區,房地(土地+建物),吳興街６００巷７６弄９４號,1090717,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,800930,160.04,5,2,3,有,15000000,93727,,0,0
大安區,房地(土地+建物),和平東路三段４１６巷１５弄１４號,1090821,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,750609,102.36,3,2,1,無,18300000,178781,,0,0
文山區,房地(土地+建物),溪口街５５巷４弄８號,1090809,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,690719,94.92,3,2,2,無,12000000,126422,,0,0
信義區,房地(土地+建物),林口街１３３號,1090723,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,111.24,3,2,2,無,28500000,256203,,0,0
內湖區,房地(土地+建物),康寧路三段１８９巷１４１弄３５號,1090819,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,840518,115.46,3,2,2,無,19800000,171488,,0,0
中正區,房地(土地+建物),晉江街４８巷５弄２號,1090911,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,660208,52.55,1,2,1,無,6000000,114177,,0,0
士林區,房地(土地+建物),士東路２６６巷１２弄６之１號,1090803,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,700904,86.61,2,2,1,無,16000000,184736,,0,0
士林區,房地(土地+建物),忠義街４６巷７號,1090819,土地3建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,810506,126.35,3,2,2,有,26000000,205778,,0,0
士林區,房地(土地+建物),重慶北路四段４９巷３１弄３１號,1090803,土地1建物2車位0,一層,四層,公寓(5樓含以下無電梯),住家用,600808,147.6,5,2,2,無,8000000,54201,,0,0
內湖區,房地(土地+建物),港墘路１巷５號,1090816,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,700716,83.6,3,2,2,無,16960000,202871,,0,0
文山區,房地(土地+建物),景興路１５３巷１４弄１０號,1090816,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,710726,81.9,1,2,1,有,15000000,183150,,0,0
信義區,房地(土地+建物),虎林街５６巷７號,1090504,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,611229,81.87,3,2,1,無,24900000,304141,,0,0
士林區,房地(土地+建物),中山北路六段７２８巷９弄１之１號,1090622,土地1建物2車位0,一層,五層,公寓(5樓含以下無電梯),住家用,740520,199.18,3,2,2,無,32500000,163177,,0,0
松山區,房地(土地+建物),復興北路３１３巷１９之２號,1090907,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,740507,27.75,1,1,1,無,8500000,306306,,0,0
士林區,房地(土地+建物),中山北路七段２１６巷５號,1090819,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,750605,176.16,4,2,2,有,24800000,140781,,0,0
文山區,房地(土地+建物),興隆路三段２０７巷１４弄１１號,1090506,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,730830,92.44,2,2,2,有,13000000,140632,,0,0
士林區,房地(土地+建物),福港街２２４巷１０號,1090807,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,670301,73.39,2,2,1,無,13000000,177136,,0,0
松山區,房地(土地+建物),民生東路五段２１２巷７號,1090819,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,621211,43.26,1,0,1,無,12800000,295885,,0,0
北投區,房地(土地+建物),中央北路四段５８３巷１０弄１１號,1090910,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,1050817,58.75,1,1,1,有,7650000,130213,,0,0
士林區,房地(土地+建物),忠誠路二段２１巷４５弄４號,1090903,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,730116,283.71,4,3,4,無,37000000,130415,,0,0
北投區,房地(土地+建物),知行路２９２巷４弄５號,1090907,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,700930,159.72,3,2,2,無,19400000,121463,,0,0
北投區,房地(土地+建物),石牌路一段３３巷４弄４號,1090923,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,600510,93.05,3,2,1,無,20400000,219237,,0,0
內湖區,房地(土地+建物),內湖路一段２８５巷６９弄７８號,1090922,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,720801,80.41,3,1,1,無,12060000,149981,,0,0
大同區,房地(土地+建物),大龍街７９巷１５號,1090727,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,560921,38.68,2,1,1,無,3600000,93071,,0,0
文山區,房地(土地+建物),樟新街１９號,1090709,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,830504,211.76,3,2,2,無,34800000,164337,,0,0
信義區,房地(土地+建物),吳興街６００巷９８弄３之１號,1090904,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,850606,54.27,1,1,1,有,8880000,163626,,0,0
內湖區,房地(土地+建物),江南街１１２巷２號,1090716,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,710428,111.33,0,1,1,無,39980000,359113,,0,0
松山區,房地(土地+建物),新東街２６巷４３號,1090909,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,620301,91.88,3,2,1,無,22000000,239443,,0,0
中山區,房地(土地+建物),松江路１９４巷５９號,1090902,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,580113,55.5,3,2,1,無,16680000,300541,,0,0
北投區,房地(土地+建物),公路２０９巷３８弄４號一樓,1090919,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,590519,93.43,3,2,2,無,10500000,112384,,0,0
士林區,房地(土地+建物),中山北路七段１１４巷６１弄２之３號,1090918,土地3建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,740211,212.79,4,2,2,有,31800000,149443,,0,0
北投區,房地(土地+建物),中和街４９３巷５弄１３號,1090915,土地9建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,690530,108.16,3,2,2,無,14980000,138499,,0,0
內湖區,房地(土地+建物),內湖路三段６０巷４８弄７號,1090916,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,740911,94.4,3,2,1,無,16330000,172987,,0,0
士林區,房地(土地+建物),福志路５２巷２號,1090824,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,740827,202.32,4,3,3,無,35880000,177343,,0,0
北投區,房地(土地+建物),懷德街６７號,1090922,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,671003,83.21,2,1,1,無,29000000,348516,,0,0
內湖區,房地(土地+建物),金龍路２０３之２號,1090904,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,750121,145.34,4,2,1,有,29000000,199532,,0,0
信義區,房地(土地+建物),永吉路１８０巷１８號,1091003,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,,93.5,3,2,2,無,8220000,87914,,0,0
中山區,房地(土地+建物),松江路２２６巷３之１號,1090808,土地1建物2車位0,一層,四層,公寓(5樓含以下無電梯),住家用,650113,141.74,1,2,2,無,41100000,289968,,0,0
