target,addr,date,target_number,floor,total_floor,building_state,house_age,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,cart_price
房地(土地+建物)+車位,園區街1~30號,1100425,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),8,209.79,4,2,2,有,46000000,251140,2500000
房地(土地+建物)+車位,內湖路二段331~360號,1100425,土地1建物1車位2,十二層,十二層,住宅大樓(11層含以上有電梯),7,226.17,3,2,2,有,39980000,244547,5000000
房地(土地+建物)+車位,瑞光路211~240號,1100425,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),26,164.83,3,2,2,有,23230000,140933,0
房地(土地+建物)+車位,八德路四段901~930號,1100425,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),8,270.81,4,2,2,有,48200000,202261,4000000
房地(土地+建物)+車位,三合街一段82巷61~90號,1100425,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),6,143.06,2,2,1,有,23000000,206092,2500000
房地(土地+建物),敦化南路二段121~150號,1100424,土地2建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),36,150.95,3,2,2,有,39680000,262868,0
房地(土地+建物),民權東路六段180巷42弄1~30號,1100424,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),3,96.53,0,1,1,有,24500000,253833,0
房地(土地+建物),四維路22巷1~30號,1100424,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),-1,66.35,2,2,1,無,21500000,324039,0
房地(土地+建物),松隆路91~120號,1100424,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),38,124.91,3,2,2,無,19650000,157313,0
房地(土地+建物),通化街39巷1~30號,1100424,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),30,57.27,2,1,1,有,13060000,228043,0
房地(土地+建物)+車位,三民路43巷1~30號,1100424,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),14,201.73,3,2,2,有,40000000,198285,0
房地(土地+建物)+車位,和平東路一段91~120號,1100424,土地1建物1車位3,五層,三十八層,住宅大樓(11層含以上有電梯),6,485.3,0,1,0,有,170880000,395647,12000000
房地(土地+建物),中和街20巷1~30號,1100423,土地3建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),15,46.14,0,0,0,有,8100000,175553,0
房地(土地+建物),南京東路三段335巷1~30號,1100423,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),23,39.56,1,1,1,有,11200000,283114,0
建物,信陽街1~30號,1100423,土地0建物1車位0,五層,五層,公寓(5樓含以下無電梯),43,60.2,2,2,1,無,5000000,83056,0
房地(土地+建物),歸綏街181~210號,1100422,土地2建物1車位0,七層,十層,華廈(10層含以下有電梯),26,43.88,2,1,1,有,6500000,148131,0
房地(土地+建物),萬青街121~150號,1100422,土地1建物1車位0,二層,二層,透天厝,-1,53.49,2,1,1,無,9000000,168256,0
房地(土地+建物),後港街1~30號,1100422,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),44,143.66,3,2,2,無,26000000,180983,0
房地(土地+建物),南京東路五段211~240號,1100422,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),32,69,2,2,1,有,17300000,250725,0
