target,addr,date,target_number,floor,total_floor,building_state,house_age,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,cart_price
房地(土地+建物),臺北市士林區福華路128巷3弄1~30號,1080721,土地1建物1車位0,二層,二層,透天厝,49,77.28,2,2,2,無,28300000,366201,0
房地(土地+建物),臺北市中山區新生北路二段61~90號,1080717,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),47,37.98,2,1,1,有,5400000,142180,0
房地(土地+建物),臺北市中山區民生西路45巷7弄1~30號,1080622,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),36,60.32,8,0,4,無,11750000,194794,0
房地(土地+建物),臺北市中山區新生北路二段101巷1~30號,1080416,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),49,89.2,4,2,2,無,14300000,160314,0
房地(土地+建物),臺北市大安區忠孝東路四段211~240號,1080329,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),0,41.77,2,1,1,有,9480000,226957,0
房地(土地+建物),臺北市松山區八德路四段1~30號,1080309,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),16,43.81,3,1,1,有,10650000,243095,0
房地(土地+建物),臺北市士林區雨聲街8巷1~30號,1080307,土地1建物2車位0,二層,五層,公寓(5樓含以下無電梯),36,216.68,3,1,2,無,32000000,147683,0
房地(土地+建物),臺北市中山區長安東路二段61~90號,1080217,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),38,75.29,2,1,1,有,13700000,181963,0
房地(土地+建物),臺北市信義區仁愛路四段452巷1~30號,1080216,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),0,103.61,2,2,2,無,28200000,272175,0
房地(土地+建物)+車位,臺北市內湖區文德路210巷30弄1~30號,1080214,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),9,84.07,2,1,1,有,14500000,172475,0
房地(土地+建物),臺北市萬華區貴陽街二段31~60號,1080212,土地1建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),1,37.92,0,0,0,有,3980090,104960,0
房地(土地+建物),臺北市文山區萬壽路61~90號,1080114,土地1建物1車位0,五層,五層,套房(1房1廳1衛),11,35.56,1,1,1,有,4160000,116985,0
房地(土地+建物),臺北市萬華區德昌街185巷12弄1~30號,1080106,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),39,152.97,4,2,2,無,12600000,82369,0
房地(土地+建物),臺北市內湖區金湖路31~60號,1080102,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),15,184.38,3,1,1,有,27000000,146437,0
