district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
士林區,房地(土地+建物)+車位,社中街２１０巷１６號三樓之３,1100108,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090508,112.98,1,1,1,有,13300000,139597,升降平面,30.6,1800000
士林區,房地(土地+建物)+車位,社中街２１０巷１６號四樓之３,1091225,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090508,97.91,1,1,1,有,13200000,142632,升降機械,15.53,1450000
內湖區,房地(土地+建物),康樂街１３６巷３０弄９號,1081231,土地1建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,126.1,3,2,2,有,21000000,166534,,0,0
內湖區,房地(土地+建物)+車位,康樂街１３６巷３０弄１５號七樓,1090713,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,131.38,3,2,1,有,19880000,169561,坡道平面,28.88,2500000
內湖區,房地(土地+建物)+車位,康樂街１３６巷３０弄７號七樓之３,1090903,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,154.17,3,2,2,有,25360000,164494,坡道機械,0,0
內湖區,房地(土地+建物)+車位,康樂街１３６巷３０弄１３號十二樓,1100109,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,184.51,3,2,2,有,28680000,155439,坡道平面,35.06,0
內湖區,房地(土地+建物),康樂街１３６巷３０弄１１號十四樓之３,1080802,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,136.28,3,2,2,有,22000000,161432,,0,0
內湖區,房地(土地+建物)+車位,康樂街１３６巷３０弄９號十四樓之３,1080728,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,155.27,3,2,2,有,22450000,157845,坡道平面,28.88,2500000
內湖區,房地(土地+建物),康樂街１３６巷３０弄１７號三樓,1090611,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,99.99,3,2,1,有,16630000,166317,,0,0
內湖區,房地(土地+建物)+車位,康樂街１３６巷３０弄７號三樓之３,1100112,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,172.74,3,2,2,有,27000000,156304,坡道平面,0,0
內湖區,房地(土地+建物)+車位,康樂街１３６巷３０弄３號五樓之１,1090517,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,137.57,3,2,1,有,18500000,134477,坡道平面,35.06,0
南港區,房地(土地+建物)+車位,昆陽街１８０號七樓,1080106,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅，第二組：多戶住宅,1091026,125.49,3,2,1,有,22800000,215882,坡道平面,33.31,2900000
南港區,房地(土地+建物)+車位,昆陽街１８０號九樓,1071121,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅，第二組：多戶住宅,1091026,125.49,3,2,1,有,23050000,220764,坡道平面,33.31,2700000
南港區,房地(土地+建物)+車位,昆陽街１８２之１號二樓,1080115,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅，第二組：多戶住宅,1091026,147.73,2,2,1,有,25730000,201276,坡道平面,33.31,2700000
南港區,房地(土地+建物)+車位,昆陽街１８２號二樓,1070930,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅，第二組：多戶住宅,1091026,170.77,3,2,2,有,33280000,222465,坡道平面,33.31,2700000
南港區,房地(土地+建物)+車位,昆陽街１８０號二樓,1080220,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅，第二組：多戶住宅,1091026,125.49,3,2,1,有,22380000,212411,坡道平面,33.31,2800000
