district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
文山區,房地(土地+建物),臺北市文山區忠順街一段１０巷６號五樓,1090229,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,700601,96.12,3,1,1,無,11800000,122763,,0,0
中山區,房地(土地+建物),臺北市中山區建國北路三段７１號五樓之３,1090304,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,1041016,84.39,0,0,0,有,21200000,251215,,0,0
內湖區,房地(土地+建物),臺北市內湖區陽光街１６１巷１２之１５號五樓,1090502,土地1建物1車位0,五層,五層,套房(1房1廳1衛),住家用,1080716,42.22,1,1,1,有,10080000,238749,,0,0
信義區,房地(土地+建物),臺北市信義區中坡南路２４號五樓,1090316,土地3建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,,48.98,3,2,2,有,8000000,163365,,0,0
信義區,房地(土地+建物),臺北市信義區永吉路２００巷４１弄３號５樓,1090418,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,711217,183.08,6,2,2,無,31000000,169325,,0,0
北投區,房地(土地+建物),臺北市北投區石牌路一段166巷46號五樓、五樓之1、五樓之2,1090501,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,970711,122.24,3,3,3,有,25900000,211878,,0,0
士林區,房地(土地+建物),臺北市士林區承德路四段２７７巷６２號五樓,1090422,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,761211,98.68,4,3,2,無,10000000,101338,,0,0
北投區,房地(土地+建物),臺北市北投區復興一路７號五樓,1090415,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,740809,111.76,4,3,3,無,11000000,98425,,0,0
士林區,房地(土地+建物),臺北市士林區中山北路七段１４巷６１弄１號五樓,1090504,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,731121,1.17,4,2,2,無,150000,128205,,0,0
內湖區,房地(土地+建物),臺北市內湖區金龍路４７巷１１號五樓,1090404,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,730608,87.89,3,2,1,無,12200000,138810,,0,0
萬華區,房地(土地+建物),臺北市萬華區萬大路187巷3弄18號5樓,1090412,土地1建物1車位0,五層,五層,套房(1房1廳1衛),住家用,640508,36.77,1,0,1,無,4940000,134349,,0,0
中正區,房地(土地+建物),臺北市中正區?門街７１巷２２之１號五樓,1090417,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,710504,115.12,6,0,6,無,22500000,195448,,0,0
內湖區,房地(土地+建物),臺北市內湖區民權東路六段９２號５樓,1090422,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,691210,106.86,3,2,3,無,13100000,122590,,0,0
北投區,房地(土地+建物),臺北市北投區中央北路三段１６８巷２號五樓,1090219,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,701007,99.44,4,2,2,無,12400000,124698,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路二段９６巷１００之４號５樓,1090325,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,721231,115.12,3,2,2,無,12300000,106845,,0,0
信義區,房地(土地+建物),臺北市信義區大道路７０號５樓,1090411,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,690222,95.89,3,2,2,無,15500000,161644,,0,0
士林區,房地(土地+建物),臺北市士林區天母北路２８巷３５號５樓,1090331,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,680720,96.13,3,2,1,無,12150000,126391,,0,0
士林區,房地(土地+建物),臺北市士林區德行西路111巷2弄4號5樓,1090412,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,680122,101.76,3,2,2,無,17000000,167060,,0,0
中山區,房地(土地+建物),臺北市中山區雙城街19巷8號5樓之16,1090430,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,970312,34.62,0,1,1,有,7300000,210861,,0,0
